"source DREAL – 2014-04-01 Etablissements classés sur la CUS",,,,
"Nom établissement","Code postal","Commune","Régime","Régime Seveso"
"AGIP avenue d'alsace ( ex BP)",67000,"STRASBOURG","Enregistrement","Non-Seveso"
"GUSTAVE MULLER SA (ex AGRI-CHEM)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ALTEM 10",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ARCELOR (ex PAB EST)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ARMBRUSTER Strasbourg",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ASS.DES AMIS DU ZOO",67000,"STRASBOURG","Autorisation","Régime inconnu : "
"SCI MIHA (ex ATAC Cherbourg)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ATAC PGC Logistique Est Biarritz",67000,"STRASBOURG","Autorisation","Non-Seveso"
"AUCHAN Hautepierre Station",67000,"STRASBOURG","Enregistrement","Non-Seveso"
"AUCHAN Hautepierre hypermarché",67000,"STRASBOURG","Autorisation","Non-Seveso"
"BIO SPRINGER",67000,"STRASBOURG","Autorisation","Non-Seveso"
"BLUE PAPER",67000,"STRASBOURG","Autorisation","Non-Seveso"
"BMW FRANCE",67000,"STRASBOURG","Autorisation","Non-Seveso"
"BOLLORE ENERGIE Strasbourg",67000,"STRASBOURG","Autorisation","Seuil AS"
"COMPTOIR AGRICOLE STG-Silorins Silostra",67000,"STRASBOURG","Autorisation","Non-Seveso"
"CAFE SATI",67000,"STRASBOURG","Autorisation","Non-Seveso"
"CFCM (CREDIT MUTUEL)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"COLAS EST (chez SARM)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"COSMEUROP",67200,"STRASBOURG","Autorisation","Non-Seveso"
"COSTIMEX DACSA France",67000,"STRASBOURG","Autorisation","Non-Seveso"
"AGIP avenue d'alsace ( ex BP)",67000,"STRASBOURG","Enregistrement","Non-Seveso"
"GUSTAVE MULLER SA (ex AGRI-CHEM)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ALTEM 10",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ARCELOR (ex PAB EST)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ARMBRUSTER Strasbourg",67000,"STRASBOURG","Autorisation","Non-Seveso"
"ASS.DES AMIS DU ZOO",67000,"STRASBOURG","Autorisation","Régime inconnu : "
"SCI MIHA (ex ATAC Cherbourg)",67000,"STRASBOURG","Autorisation","Non-Seveso"
